academic_performance,internship,starting_salary
Medium,0,48942.77
Medium,0,40385.08
Low,1,37895.72
Medium,0,49715.69
Medium,0,35137.47
Low,0,15332.83
Medium,0,40478.55
High,0,53454.21
Medium,0,35735.37
Medium,1,47553.01
High,1,61534.74
Low,0,21216.16
Low,0,24924.45
Low,1,36880.78
Low,1,30130.41
Low,0,27640.06
Medium,0,41710.32
Medium,1,39053.09
Medium,0,30576.08
Medium,0,37504.01
Medium,1,46309.8
Low,1,38786.96
Medium,0,33604.22
Medium,0,35518.54
High,0,53751.53
Low,0,23993.65
Low,0,25163.81
Medium,0,47184.01
Medium,1,42828.84
Low,0,24242.03
Medium,0,40713.85
Low,0,33015.23
High,0,52312.96
Low,0,29466.47
Low,0,26004.42
Low,0,38164.99
Medium,0,45166.05
Low,0,26774.04
Medium,1,44928.85
High,0,45876.89
Low,0,30919.96
Medium,1,45708.77
Low,0,31671.24
Medium,0,47188.27
Low,0,33612.4
Low,0,26070.84
Medium,0,34542.37
Low,0,31383.68
High,0,53536.18
Medium,1,55979.28
Medium,1,38290.04
High,1,59362.39
High,1,52498.5
Medium,0,48786.88
Medium,1,43153.57
Medium,0,45889.24
Medium,1,57567.78
Medium,0,42445.83
High,1,51246.76
Low,0,27005.2
Medium,1,40240.47
Medium,0,36700.65
High,0,46438.98
Low,0,42074.51
Medium,1,41118.75
Medium,0,40736.2
Low,0,32171.81
Medium,1,46999.39
Medium,0,49107.35
Low,1,27748.31
Medium,0,33583.28
High,0,45389.62
High,1,62170.0
Medium,0,42704.18
Medium,0,49830.16
Low,1,25438.89
High,1,58036.59
Low,0,32316.2
Medium,0,31830.15
Low,0,32246.18
Medium,1,47462.81
Low,1,31773.72
Medium,0,42633.42
Medium,0,34548.73
Medium,0,43666.18
Low,0,35938.47
High,0,45819.63
Low,0,34630.78
Medium,1,37699.31
Medium,0,40591.57
High,1,55224.06
Low,0,28226.31
Medium,1,43123.28
Medium,0,48230.76
High,1,42110.33
Low,0,37773.48
Medium,0,33468.04
Low,0,38536.41
Low,0,35055.14
Low,0,31990.11
High,0,56078.34
Low,0,27621.64
High,0,52726.93
Low,0,29352.86
High,0,51609.47
Medium,0,44286.74
Low,0,33008.67
Medium,1,43055.21
Medium,0,40503.31
Medium,0,39377.17
Medium,0,36783.99
Medium,0,45221.02
Medium,0,46554.14
Medium,0,51832.56
Medium,0,36369.41
High,0,55410.58
High,1,56909.46
Low,0,28663.47
Low,1,39387.64
Medium,0,40310.08
Medium,1,44571.22
Low,0,29740.41
Low,0,26483.37
Medium,0,46343.26
Medium,0,40802.63
Low,0,33946.15
High,0,58045.09
Medium,0,35533.56
Medium,0,52510.56
Medium,0,40494.08
Low,1,37211.72
Medium,1,48954.28
Low,0,25524.89
Low,0,25984.04
Medium,0,38729.9
Low,0,30620.32
Medium,0,35967.88
Medium,0,33113.28
Low,0,35775.29
Low,0,24529.2
Medium,1,49573.78
Low,1,29047.55
Medium,1,41604.54
Medium,1,44118.99
High,0,61421.42
High,1,55953.91
Medium,0,41336.85
Low,0,29305.03
Medium,0,35565.45
Low,0,33409.63
Low,0,30146.71
Medium,0,47031.83
Medium,1,39250.04
Low,1,41710.08
Low,0,31161.56
Medium,0,36062.63
High,0,51530.89
Medium,0,35924.32
Medium,0,45977.92
High,1,54427.41
Medium,0,35993.79
Medium,0,37225.96
Medium,0,36055.75
Low,0,37687.31
Medium,0,34358.3
Low,1,34659.44
Medium,0,41286.3
Medium,0,37797.01
Low,0,23256.58
High,1,65466.31
Low,0,28373.64
Medium,1,38438.36
Medium,1,41110.85
Medium,1,45601.31
Medium,0,39129.74
Medium,0,32987.13
High,0,51523.48
High,1,49147.56
Medium,1,48870.98
Medium,0,41944.78
Low,0,28495.87
High,0,66293.52
High,1,52184.11
Medium,0,39398.79
Medium,0,47821.27
Medium,0,43982.14
Low,1,30510.35
High,1,56933.5
Medium,0,45024.44
Medium,0,26806.8
Medium,0,38031.02
High,1,64117.75
Medium,1,41577.35
Low,0,37422.58
Medium,0,36230.93
High,0,51083.37
Medium,0,40409.03
High,0,46354.97
High,0,41233.1
Medium,1,49134.88
Medium,0,37051.39
Medium,0,50160.41
Medium,0,38541.19
Medium,0,39307.21
Medium,1,47358.77
Medium,0,36213.44
Medium,0,39843.66
Medium,0,31781.58
Medium,1,49454.0
Medium,1,37237.04
Medium,1,49359.67
High,1,53359.93
Medium,1,41683.32
Low,0,27745.86
Medium,1,47276.46
Low,0,32108.96
Medium,0,37888.24
Low,0,25849.0
High,0,44020.66
Low,0,18282.94
Medium,0,46200.34
Low,1,36511.24
High,1,61256.41
Medium,1,49984.7
High,1,60139.34
Medium,0,37604.82
Medium,1,45770.5
High,1,50061.27
Low,0,32852.4
Medium,1,45859.54
Low,0,32445.02
Medium,1,44478.43
High,1,60724.73
High,1,52446.78
Low,0,25252.13
Medium,1,52570.52
Medium,1,47734.38
Low,0,28284.58
Low,0,21863.85
Medium,0,37864.09
High,0,39090.45
Medium,0,35342.55
Medium,0,37690.44
Medium,1,48244.78
Medium,1,44900.42
High,1,50669.22
Medium,1,50962.28
Low,0,24587.56
Medium,0,30000.84
High,0,54382.66
Medium,0,37729.98
Medium,0,43668.48
Low,0,26147.62
Low,0,26211.04
High,1,48928.85
Medium,0,40946.1
Medium,0,43424.2
Medium,1,49835.59
High,1,62371.88
Low,0,32603.64
High,1,49942.36
Medium,0,46408.25
High,1,55763.82
High,1,59416.68
Medium,0,37956.93
Low,1,35705.33
Low,1,35684.56
Medium,1,39514.15
Low,0,21048.6
Low,0,27904.4
Low,0,37307.88
Medium,0,38608.7
Low,0,29971.06
High,1,54688.6
High,1,59956.3
Medium,0,34070.06
Medium,0,44068.14
Medium,0,39075.24
Medium,1,44887.57
Medium,0,42170.13
Medium,0,39668.92
Medium,1,46442.74
Medium,0,36892.72
Medium,0,45920.71
Medium,0,40558.71
Low,0,34994.6
Medium,1,47716.83
Medium,0,44596.72
Medium,1,49607.7
Medium,0,41292.81
High,0,54627.4
Low,1,37145.38
Medium,0,50083.53
Medium,0,40765.02
Medium,0,41974.0
Medium,0,43822.5
High,1,52583.69
Low,0,34397.3
High,1,53021.71
High,1,52823.54
Medium,1,42692.25
Medium,0,28735.63
Medium,0,42119.7
Medium,0,40216.59
High,0,50456.53
Low,1,37560.97
Low,0,29941.76
Low,1,38565.56
Medium,0,36956.78
Low,0,24275.67
High,0,48890.8
Medium,0,40918.78
High,0,51601.64
Low,0,31486.73
Medium,1,56856.62
Low,0,19382.45
Low,0,31564.42
Medium,0,38050.97
High,1,58344.61
Medium,1,47307.61
Medium,0,38825.03
Medium,1,39581.63
Low,0,27548.25
Medium,0,38516.45
Low,1,29183.27
High,0,54914.31
Medium,1,51762.95
Medium,1,41360.44
Medium,0,30995.45
Low,0,27152.09
Medium,0,32481.55
High,0,53034.79
High,0,46415.83
Low,1,27037.55
Low,0,23903.15
Medium,0,33013.74
High,1,58674.46
High,1,51035.73
Medium,1,44167.94
Medium,0,40353.55
High,0,44351.36
Low,0,22287.71
High,1,53754.76
Low,0,36047.33
Medium,0,37266.63
Low,1,44596.52
Medium,0,38136.18
High,1,49694.75
Medium,1,42043.35
Low,0,19239.17
Low,1,37243.31
Medium,1,43432.06
Medium,0,36086.3
Medium,0,47814.82
Low,0,27114.88
Medium,0,43940.67
High,1,54268.8
Medium,1,49385.38
Medium,1,46562.78
High,0,52579.27
Medium,0,37578.99
Medium,0,41073.75
Medium,1,43060.93
Low,0,23810.07
Medium,0,34835.98
High,1,52315.95
Low,1,36000.78
High,0,52801.48
Medium,1,49930.24
Medium,1,52928.86
Medium,0,36681.6
Medium,0,46921.78
High,1,49130.39
Medium,1,45267.84
High,1,49054.65
Medium,1,41415.48
Medium,0,32880.3
High,1,55078.21
Low,1,30658.67
Medium,0,36944.24
Low,0,26845.63
High,0,47238.95
Medium,1,48341.29
High,1,60882.22
High,1,48818.96
Low,0,29974.93
Low,0,31470.61
Medium,0,40063.37
Medium,1,55607.87
Low,0,28875.62
Low,0,23534.78
Medium,0,37029.46
Low,0,30880.78
High,1,57069.13
High,1,52831.18
Medium,0,40800.06
Low,0,37269.71
Low,1,44595.3
Medium,1,51550.15
High,0,55346.15
Medium,1,48639.19
Medium,0,39203.55
Low,0,29502.8
Medium,0,44573.4
Medium,0,44472.05
Low,0,32570.09
Medium,0,45274.58
Medium,0,30749.23
Medium,0,41780.54
Medium,0,33611.48
High,1,53720.22
Medium,0,39846.6
Medium,0,38266.45
High,0,45967.73
High,1,59205.1
Medium,0,42839.09
Low,0,36142.35
High,1,53421.55
Low,0,29404.3
High,0,63099.47
Low,1,33280.26
High,0,42236.65
Medium,1,49331.95
Medium,1,49834.78
Medium,0,45747.04
High,0,55381.74
Low,0,25516.46
Low,0,33410.59
Low,1,37504.43
High,0,53481.15
Medium,0,39409.58
Medium,0,45230.47
Medium,0,42541.22
High,1,56827.51
Medium,0,37600.28
Medium,0,44139.79
Medium,0,39364.23
Medium,1,46350.12
Low,0,29603.56
Low,0,33849.17
Low,0,30820.74
Medium,1,40357.62
Medium,0,44832.52
Medium,0,44178.0
High,1,57310.23
Medium,0,41223.62
Medium,1,40991.76
Medium,1,45203.36
Low,0,26640.5
Medium,1,47508.11
High,1,58537.09
Low,0,35614.36
Medium,0,40764.17
Low,0,32528.79
Medium,0,38280.73
Medium,0,34235.32
High,1,51909.16
Medium,0,43121.58
Medium,0,38642.2
High,1,47206.77
Medium,0,39657.54
Medium,1,43372.65
Medium,0,39153.61
High,1,57169.86
Medium,0,50355.12
High,0,44348.59
Low,0,37432.11
Medium,0,40476.95
Medium,0,45589.91
Medium,1,47065.03
Medium,0,40202.54
Low,0,32184.33
Low,0,22773.21
Medium,0,37525.25
High,0,51167.18
High,1,48403.73
Low,1,35305.61
High,0,45613.59
Low,1,37254.47
Medium,0,42380.95
Low,0,36649.2
High,1,56862.12
Medium,0,34548.11
Medium,0,37219.38
Medium,1,38581.4
Low,0,31909.02
Medium,1,42648.31
Medium,0,40102.64
Low,0,29211.85
High,1,48561.89
Medium,1,46537.8
Low,0,34268.69
Low,0,26396.99
Low,1,33434.67
Medium,1,48568.42
Medium,0,36336.24
Low,1,34460.52
Medium,0,42176.09
Medium,0,44783.91
Medium,0,40809.31
High,0,46209.0
Low,0,31379.69
Medium,1,42744.15
Medium,1,44509.97
Low,1,29528.64
Low,1,30623.41
Medium,1,47872.79
High,1,56195.63
Medium,0,38132.83
Medium,1,40781.07
Medium,0,46143.57
Medium,1,47519.74
Low,1,45701.66
Low,0,25929.53
Medium,0,33132.99
Medium,1,46843.98
Low,0,29340.61
Low,0,29015.92
Low,0,24555.48
Medium,0,40130.18
Medium,1,42000.16
Low,0,25164.97
Low,0,27016.34
Low,0,22448.19
Low,0,34730.34
Medium,0,39532.87
Low,1,34363.66
Medium,0,46407.55
Medium,1,42146.16
Medium,0,34535.82
Low,0,32762.66
Low,0,24433.9
Low,0,19342.18
High,1,57970.29
High,1,56050.24
Low,0,28044.05
Medium,1,38719.19
Low,0,32628.46
Low,0,27587.5
Medium,1,48776.07
Low,1,37738.16
Medium,0,35915.45
Medium,1,38470.58
Medium,1,47076.24
High,1,56782.63
Medium,0,41611.94
Medium,1,44902.22
Medium,1,49820.9
Low,0,45905.42
Medium,0,48445.42
High,0,51297.11
Medium,1,48863.04
High,1,53827.33
Low,0,19158.4
Low,0,37672.51
Low,0,26535.72
Medium,1,38395.99
Medium,0,45344.59
Medium,0,51959.22
High,1,57452.28
Medium,0,38850.41
Medium,0,45287.3
Medium,0,41732.3
Low,1,28502.22
Medium,1,39905.68
Low,0,27560.95
Low,1,36902.62
Medium,0,44002.65
High,1,53097.02
Medium,1,50199.25
Medium,0,47180.02
Medium,1,44220.36
Low,0,22949.17
High,0,53623.43
Medium,0,49027.99
Low,0,27742.82
Medium,1,53390.55
Low,0,27041.47
Low,0,29268.58
Low,0,36221.2
Low,0,28698.51
Medium,0,33139.04
Medium,0,43460.51
Medium,1,38685.45
Medium,1,49659.25
Medium,0,43906.79
Low,0,37403.41
Medium,0,35566.84
Low,1,30648.95
Medium,0,39959.11
Medium,0,37894.59
Medium,0,31895.66
High,1,53561.04
Medium,0,40231.79
Low,0,32548.7
Low,1,36027.8
High,0,48959.36
Medium,0,47869.73
High,1,53272.51
Medium,0,36861.35
High,0,48984.63
High,0,52850.59
Medium,1,42635.49
Low,0,32657.67
Medium,0,42719.47
High,1,51758.28
High,0,47617.87
Low,0,39399.47
Medium,1,45611.53
High,1,42016.63
Medium,1,41314.6
High,0,53010.85
High,1,54754.36
High,1,54999.81
Low,0,33551.41
Low,0,25997.55
Low,0,30757.02
High,1,54084.35
Medium,1,46139.21
Low,0,28178.55
Medium,0,38371.79
Medium,0,42301.7
High,1,50359.95
Medium,0,37053.31
Medium,1,52959.98
Low,0,32607.43
High,1,59376.19
Low,0,30248.51
Medium,0,40740.33
Low,0,25903.85
Low,1,36331.02
Low,0,31341.92
Medium,1,49211.3
Medium,0,38669.87
Low,0,29927.69
Low,0,43326.9
High,1,55193.53
Low,0,25853.94
Low,1,37653.5
Medium,0,40774.96
High,1,50619.28
Low,1,37092.76
High,1,60077.17
Medium,0,36664.42
Medium,0,46310.19
Low,0,26789.37
Medium,1,40908.0
Low,0,30663.95
Medium,1,48662.9
Low,0,34219.24
Medium,1,46576.23
High,1,49333.41
Medium,1,40570.43
Low,0,28325.89
Medium,0,42721.99
Medium,1,43038.31
Low,0,34926.0
Medium,0,49486.92
Low,0,25325.47
Medium,1,45251.92
Medium,1,47918.68
Low,1,39168.49
Low,1,36103.07
Low,0,29433.01
High,1,47176.84
Medium,0,37986.36
Low,0,33042.47
Medium,0,46751.26
Low,1,29393.78
Medium,1,51298.23
Medium,0,45023.27
High,0,50952.3
Low,1,31067.68
Medium,1,51993.91
Medium,0,39553.31
High,1,57373.64
Medium,0,35959.8
Medium,0,32820.99
Medium,0,43363.12
Medium,0,41964.68
High,0,52298.51
High,1,49649.17
Medium,0,43922.78
Medium,1,48626.77
High,0,62430.35
Low,0,28694.94
Low,0,21456.94
Medium,0,37808.94
Low,0,28033.83
High,1,55562.9
Medium,0,43347.4
Medium,1,42254.63
Medium,0,45288.47
Medium,0,40016.92
Medium,1,34365.61
Low,0,29774.78
Medium,0,36880.86
Medium,0,40662.58
Low,0,35232.83
Medium,0,34140.02
Low,0,29170.97
High,1,63189.96
Medium,0,38064.2
High,1,51808.17
Medium,0,49338.33
High,1,57502.7
Low,1,42115.62
Low,0,26602.06
Low,0,27880.7
Medium,0,35016.94
Low,0,32564.95
Medium,0,36564.85
Medium,0,35524.27
Medium,1,45687.39
Medium,1,46712.86
Low,1,34650.41
Medium,1,45585.62
Medium,1,52775.43
High,0,55198.84
Medium,1,44766.65
High,1,58175.32
Medium,0,44325.83
High,1,56636.44
Low,1,31204.57
Medium,0,30797.38
High,1,64120.9
Low,0,30191.71
Medium,1,47379.69
High,0,45603.35
Medium,0,38850.95
Low,0,26025.15
Medium,1,39989.97
Low,0,31651.72
High,1,56674.43
Low,1,35618.35
Low,0,30500.82
Low,0,32661.9
Medium,0,26398.93
High,1,58956.47
Low,1,46315.91
Low,0,22625.01
Medium,0,30456.64
High,1,46543.53
Medium,0,44951.29
Medium,0,34105.2
Medium,1,45975.43
Low,0,32472.65
Medium,1,44115.21
Medium,1,42607.06
High,1,53384.32
High,1,48486.49
Medium,0,44052.18
Medium,1,50487.61
Medium,1,46022.33
Low,1,30707.56
Medium,0,39705.7
Medium,0,38991.76
High,0,47016.7
Low,0,30115.61
Medium,1,43570.64
Medium,0,45675.05
Low,1,30446.35
Medium,0,38898.21
High,1,50663.27
High,1,54737.68
Medium,0,41279.33
Low,1,33669.21
High,1,59385.18
Medium,0,48322.28
Medium,0,23628.49
Low,0,34443.22
Low,1,34764.07
Low,1,34944.26
Medium,0,38666.77
Low,0,33041.81
Low,1,35313.95
Medium,1,49017.99
Medium,1,45073.42
Low,0,32706.42
Low,0,33893.9
Low,0,29362.1
Medium,0,43828.75
Low,0,32458.6
Medium,1,45928.92
Low,0,26521.06
Low,0,25788.48
Medium,0,41926.68
Low,0,33199.49
Low,0,28365.28
Medium,0,43604.48
Medium,1,41502.48
Medium,1,44398.52
Low,0,27099.14
High,1,51735.89
High,0,45957.05
Medium,0,57141.59
Medium,1,50626.77
High,0,52421.24
Low,0,28018.69
Low,0,24385.98
Low,0,22385.4
High,1,54193.07
Medium,1,49594.13
High,1,49745.39
Low,0,32830.72
High,1,55963.37
High,0,50726.52
High,0,63261.8
Medium,1,46371.92
High,1,56089.16
High,1,52088.98
Medium,1,41702.72
Medium,0,34490.01
Medium,0,33423.33
Medium,0,38785.68
Medium,0,42595.07
Low,0,20666.39
Medium,0,39317.15
Low,0,26040.27
Low,1,38887.51
Low,0,28035.56
High,0,54183.3
Low,0,27054.39
High,1,57367.55
Medium,1,45001.43
Medium,0,42389.21
Low,0,35037.99
Low,0,39292.79
Medium,0,40604.63
Low,1,34855.73
Medium,0,47127.39
High,0,46607.98
Low,1,37374.22
Medium,1,42058.08
High,0,49297.47
High,1,51387.93
High,0,53334.23
High,1,53868.1
Medium,0,33909.69
High,0,43727.7
High,1,55653.91
Medium,1,50380.21
Medium,0,30734.75
Medium,1,43641.63
Medium,0,36962.86
Low,0,34453.23
Medium,0,35184.74
Medium,1,44884.71
Medium,1,38655.47
Low,0,35982.07
Medium,0,35350.0
Low,1,40809.55
Low,1,35274.68
Medium,0,35524.86
Medium,0,43041.99
Low,0,33772.93
Medium,0,48533.07
Medium,0,42806.82
Medium,0,43294.92
Medium,0,44224.65
Low,0,13110.97
Medium,0,41924.85
High,1,60038.76
Medium,0,41152.27
High,1,52459.87
Medium,0,36481.53
Medium,1,44784.11
High,1,54333.21
Medium,1,46035.46
High,1,55015.43
Medium,0,43159.15
High,0,43452.44
Medium,0,44002.94
High,1,61340.42
Low,0,21618.19
Medium,0,37812.56
High,1,59224.85
Low,0,32104.12
Medium,1,39248.15
High,1,57968.73
Low,0,20629.56
Medium,0,42511.68
Medium,0,46734.91
Medium,1,44864.78
Low,0,34025.63
Low,0,31665.8
Low,0,26248.33
Low,0,27170.5
Low,1,33446.89
Medium,0,38764.25
Medium,0,45827.68
Medium,0,47447.03
Low,0,34333.55
Medium,1,52387.85
Medium,0,41387.82
High,0,36645.56
Medium,0,40018.32
High,1,51126.63
Low,1,38356.64
Medium,1,44290.73
Medium,1,46566.41
High,1,55254.42
Medium,0,37247.04
Medium,1,40802.6
Low,0,27560.66
Medium,0,42192.74
Low,0,36875.09
Low,0,32190.47
Low,1,47745.26
High,0,53180.21
Medium,1,46093.08
High,0,55695.1
High,0,42861.69
High,0,46782.65
High,1,58071.32
High,1,51380.56
Low,0,37165.46
Low,0,27542.82
Medium,1,49092.88
Medium,0,40536.5
Low,0,39736.19
Medium,0,43693.78
Medium,0,42949.89
High,1,53218.66
Medium,0,37158.14
Medium,0,40353.48
Medium,0,42800.13
Medium,1,46697.61
High,1,47743.99
Low,0,28318.4
Medium,0,41624.72
Medium,1,40191.98
Medium,0,42035.12
Low,0,27801.72
Low,0,32957.53
Low,0,28894.03
Medium,1,45241.32
High,1,55876.33
Medium,0,42640.34
Low,0,34266.56
Medium,0,34075.31
Low,0,29909.03
High,1,55700.87
Medium,1,60598.97
High,0,54506.83
Medium,0,40610.15
High,1,48843.48
Low,0,29086.81
Low,0,41555.96
Low,0,22522.1
Medium,1,43955.04
Medium,1,51603.1
Medium,1,56097.8
High,1,54035.91
Low,0,33114.89
Medium,0,44923.26
High,1,58490.32
Medium,0,41568.11
High,0,56992.24
Medium,1,51041.55
Medium,0,42496.45
Low,0,38726.16
High,1,55948.63
High,1,56166.03
High,1,53990.21
Medium,0,28201.47
High,1,56298.49
Medium,0,41000.13
Medium,0,34194.42
High,1,51667.58
Low,1,40138.69
Low,0,23394.24
Medium,0,39927.44
Medium,0,44351.13
Medium,1,39537.33
Medium,1,45475.96
High,1,56974.06
Medium,1,49392.49
Low,0,31516.3
Medium,1,47350.67
High,1,52614.76
Low,0,32148.85
Medium,0,43979.42
Low,0,23075.32
Medium,1,47313.62
Low,1,48790.44
Medium,1,42324.63
Medium,0,40838.55
High,1,51212.01
Medium,0,46209.94
High,0,52524.29
Medium,1,44637.77
Low,0,34041.16
Low,0,34743.35
High,1,49171.37
Medium,0,42295.12
High,1,56791.49
Low,1,35058.47
Low,0,30047.14
Medium,0,44057.63
Medium,0,32924.27
Low,0,27548.53
Medium,0,40601.1
Medium,0,37373.94
Medium,0,39597.96
Low,0,28338.11
Medium,1,50285.17
Medium,0,40034.94
Medium,1,53679.35
Medium,0,40032.81
High,0,55503.82
Medium,0,42831.25
High,0,57219.72
Medium,0,38435.83
Low,0,31126.0
Medium,0,33500.54
Medium,0,32873.81
Medium,1,49324.33
Medium,0,36362.35
Low,1,40030.96
Medium,1,44823.48
Medium,1,49543.39
Medium,0,44051.52
Medium,0,27835.1
High,1,53565.14
Medium,1,39784.14
Low,1,19377.07
High,1,51631.08
Low,0,21793.76
Medium,0,39825.95
Low,1,31217.04
Low,1,37541.48
Low,0,30445.58
Medium,1,49562.83
Low,0,34299.06
Low,0,34203.17
Medium,0,41538.29
Medium,1,43282.59
High,1,52544.94
High,1,51569.16
Medium,0,39005.75
High,1,59396.51
Medium,1,49843.08
Medium,0,32361.31
Medium,1,45968.45
Low,0,30333.62
Medium,0,34738.39
Medium,0,43799.97
Low,0,39632.71
Low,0,27826.21
Low,1,34819.04
High,1,57633.36
High,1,67397.38
Medium,0,44481.87
Low,0,26717.79
Low,1,31179.79
High,1,55009.79
Low,1,34623.75
High,1,58848.84
Medium,0,40006.36
High,0,51086.09
Medium,1,41229.64
Medium,1,44279.72
Medium,0,42457.61
High,1,65893.16
High,0,49813.06
Medium,0,41380.98
Medium,0,37523.12
High,1,51109.88
High,0,52561.55
Medium,1,47382.92
Low,0,23452.21
Low,0,23185.22
High,1,59778.75
Low,1,31158.46
Low,0,30710.23
Low,0,31458.19
Medium,0,40832.16
Medium,0,38762.24
Low,0,33212.73
Low,0,35961.62
Medium,0,39995.78
High,1,48048.97
Low,1,29341.9
Low,1,42079.1
Medium,1,41089.21
High,0,54751.48
Medium,0,33289.34
Medium,0,33724.23
High,0,52172.61
Low,0,26390.82
Low,1,41606.48
Medium,0,39883.04
High,1,50508.94
Medium,0,33720.23
High,1,64323.55
Medium,1,44036.17
Medium,0,39549.21
Low,0,28906.36
Low,0,31068.72
Medium,0,41136.49
Low,0,30156.62
Low,0,21324.8
High,1,58680.71
High,1,53724.38
Low,0,35289.53
Medium,0,48208.27
Low,0,29927.59
Low,0,30889.93
Medium,0,38386.59
Medium,1,38417.74
Low,0,37198.28
Medium,0,38041.66
Low,0,31072.34
High,1,46385.34
Medium,1,39499.66
Medium,0,28756.59
Low,1,35727.72
Medium,1,40473.8
Medium,1,42639.06
High,1,55700.6
Low,0,22318.05
High,1,52246.17
Medium,0,41159.79
Low,0,30646.51
Medium,1,34071.29
Medium,0,42132.97
High,0,44319.53
Medium,1,45940.82
Medium,0,41022.05
Low,0,36863.07
Low,1,34987.54
Medium,0,37699.07
Medium,0,34887.33
Medium,0,41781.18
Low,0,22654.27
Low,1,31188.99
Medium,0,25070.14
High,1,47493.21
Medium,0,44658.3
Medium,1,40640.44
Medium,1,43317.68
Low,0,25293.35
Medium,0,45143.41
Medium,0,38054.57
High,0,50147.85
Medium,1,41029.94
Low,0,39955.35
Medium,0,33185.72
Medium,0,37277.24
Low,0,37038.24
High,1,54166.28
High,1,57194.31
Medium,1,48129.6
Medium,0,42662.38
Medium,0,45486.27
Medium,1,48905.16
Low,0,20274.69
Low,1,38639.88
Low,1,33097.2
Medium,0,42486.92
Medium,1,39118.3
Medium,0,43827.97
Medium,0,37820.43
Medium,0,37646.03
Medium,0,44262.33
Medium,1,42209.75
Medium,0,40027.2
Medium,1,45684.08
High,1,56262.99
Medium,1,43386.14
Low,0,28335.53
High,0,47505.4
Medium,1,49371.27
Low,0,30745.07
Low,0,34822.99
Medium,0,43767.88
Medium,1,48349.64
Medium,1,42516.05
Low,0,30407.81
Medium,1,35330.06
Low,1,27435.39
Low,0,14378.19
Medium,1,43367.09
Medium,1,51427.99
Medium,0,43190.85
High,1,51483.44
Low,1,41809.27
Low,1,33815.16
Low,1,42379.34
Medium,1,36857.1
Medium,0,40170.9
Medium,0,34928.18
Medium,1,44374.0
Medium,1,35921.59
Medium,0,36545.53
Medium,0,44614.23
Medium,0,42710.44
Low,0,32622.45
Medium,1,44419.28
Medium,1,42013.81
Low,1,33714.27
Medium,0,42140.52
High,1,57826.33
Low,0,22097.01
Low,0,30558.49
Medium,0,41859.16
Medium,1,41590.01
Low,1,37736.27
High,1,49466.43
Medium,0,41590.96
High,1,41491.52
Medium,1,42329.47
High,0,46521.88
Medium,1,51666.59
Low,1,33313.34
High,1,49875.57
Low,0,35025.17
High,1,55263.66
Medium,0,41423.46
High,0,46746.89
Medium,0,47044.83
Medium,0,38298.18
Low,0,28465.58
Medium,0,41973.52
Medium,0,42464.03
Medium,0,51811.74
Low,0,35512.49
Medium,1,46206.25
Medium,0,34763.85
Low,0,24680.95
Medium,1,45252.85
High,1,64126.45
Medium,0,46815.02
Medium,0,42505.89
High,1,47619.72
Low,1,29845.42
Medium,0,38116.52
Medium,0,39658.77
Medium,0,37936.82
Medium,0,45890.87
Medium,0,46917.45
Low,0,27998.44
Medium,1,42747.35
Medium,0,38099.04
Low,0,27691.7
Low,1,36946.65
High,1,53499.69
Medium,0,45349.65
Medium,1,43878.47
High,0,46114.77
Medium,0,40034.37
High,0,49119.93
High,1,55150.15
Medium,1,43766.55
Medium,0,29956.59
Medium,1,41767.13
High,1,59364.56
Medium,0,37352.66
Low,0,20772.25
Low,0,30480.41
Low,0,34504.11
High,1,63226.82
High,1,58562.18
Medium,1,50173.97
Medium,0,44052.99
High,1,55752.17
Medium,1,39307.98
Low,0,29486.83
Medium,1,48439.02
High,0,50283.28
Medium,0,45837.0
Medium,1,46189.59
Low,0,28270.56
Medium,0,42116.49
High,0,46166.34
Medium,0,40333.62
Medium,1,43614.61
Low,0,24757.26
High,1,58672.93
Low,0,25304.11
Low,0,31336.46
High,0,48137.12
High,1,56582.93
Medium,1,45194.31
Medium,0,37029.49
Medium,0,39809.65
Low,1,35369.0
Low,1,41314.57
Medium,0,49237.02
Low,0,25071.41
High,1,51656.04
Low,0,18392.4
Medium,1,39167.23
Medium,0,35314.4
Medium,1,34383.26
Medium,1,36958.36
High,0,48569.25
Medium,0,37400.03
Medium,0,37764.45
Medium,1,40648.45
Low,0,44004.31
Medium,0,41865.22
Medium,0,39754.07
High,1,61408.55
High,0,49104.6
Low,0,23056.92
Low,0,26224.45
Low,0,38002.39
High,0,48262.83
Low,1,26212.23
Medium,0,43842.33
Medium,0,41660.71
Medium,0,37010.92
Low,0,30906.19
Low,0,36607.47
Medium,0,43591.04
Low,0,28889.68
Low,0,35876.59
Low,0,37562.4
Medium,0,35093.19
Medium,1,55969.34
Low,0,30533.93
Medium,1,48365.43
Low,0,30539.47
Medium,0,42947.72
Low,0,32693.46
Medium,0,37439.11
Low,0,31200.65
High,0,55643.44
Low,0,27359.94
High,1,60045.45
High,0,42764.51
Medium,0,43406.57
High,0,63901.65
Low,1,37201.5
Low,0,23290.56
Low,0,34434.36
Low,0,37853.51
Medium,1,47698.86
Medium,0,38057.48
Low,0,25403.1
Medium,1,45422.74
Low,0,32898.82
Medium,0,30923.9
High,0,56786.52
Medium,1,30248.35
Medium,0,44963.41
Medium,1,48927.57
Medium,0,45390.13
Low,0,23306.86
High,1,60188.5
Medium,0,51985.85
Medium,1,44306.09
High,1,56337.02
High,1,47931.54
Medium,0,36120.04
Low,0,28585.98
Medium,1,38384.29
